"Nombre_Politica","Total_Configuraciones","Casos_Seguros","Casos_Inseguros","Total_Features_Afectadas"
"no_docker_sock_mount",111265,0,111265,2546535
"no_privileged_containers",111265,0,111265,2546535
"no_root",111265,0,111265,2546535
"no_sysadmin_capability",111265,0,111265,2546535
"no_sysmodule_capability",111265,0,111265,2546535
"use_high_gid",111265,0,111265,2546535
"use_high_uid",111265,0,111265,2546535
"Disallow_Default_Namespace",108945,0,108945,2491074
"Disallow_Host_Namespaces",69036,0,69036,1185361
"Disallow_Privileged_Containers",69036,0,69036,1185361
"Disallow_hostPath",69036,0,69036,1185361
"Disallow_hostPorts",69036,0,69036,1185361
"Disallow_hostPorts_Range_Alternate",69036,0,69036,1185361
"Disallow_hostProcess",69036,0,69036,1185361
"Disallow_procMount",69036,0,69036,1185361
"Require_Annotations",69036,0,69036,1185361
"Require_Read_Only_Root_Filesystem",69036,0,69036,1185361
"Require_Run_As_ContainerUser_Windows",69036,0,69036,1185361
"Restrict_AppArmor",69036,0,69036,1185361
"Restrict_Node_Affinity",69036,0,69036,1185361
"Restrict_Seccomp",69036,0,69036,1185361
"Restrict_control_plane_scheduling",69036,0,69036,1185361
"no_auto_mount_service_token",69036,0,69036,1185361
"priorityClassNotSet",69036,0,69036,1185361
"privilegeEscalationAllowed",69036,0,69036,1185361
"procMount",69036,0,69036,1185361
"topologySpreadConstraint",69036,0,69036,1185361
"no_host_network",42229,0,42229,1361174
"no_host_pid",42229,0,42229,1361174
"no_shared_ipc_namespace",42229,0,42229,1361174
"metadataAndInstanceMismatched",40853,0,40853,1329451
"Require_Multiple_Replicas",35903,0,35903,1139594
"Disallow_NodePort",30187,0,30187,458864
"Disallow_Service_Type_LoadBalancer",30187,0,30187,458864
"Restrict_External_IPs",30187,0,30187,458864
"Restrict_Service_Port_Range",30187,0,30187,458864
"Restrict_Binding_System_Groups",11058,11058,0,155873
"Restrict_Binding_to_Cluster_Admin",11058,11058,0,155873
"Require_StorageClass",7400,0,7400,160046
"Restrict_Auto_Mount_of_Service_Account_Tokens_in_Service_Account",7147,6694,453,48255
"Deny_Secret_Service_Account_Token_Type",5534,5534,0,44132
"Restrict_Ingress_Classes",5204,0,5204,92180
"Restrict_Ingress_defaultBackend",5204,0,5204,92180
"tlsSettingsMissing",5204,0,5204,92180
"Enforce_ReadWriteOncePod",4949,0,4949,59638
"hpaMaxAvailability",378,0,378,4705
"hpaMinAvailability",378,0,378,4705
"PodDisruptionBudget_maxUnavailable_Non_Zero",374,136,238,4932
"Restrict_Jobs",12,0,12,83
