"Policy","Apariciones","Cumplidas","Fallidas","Pct_Presencia_en_Infra","Pct_Exito_Politica","Features_Totales_Afectadas","Media_Features_por_Config","Score_Medio_Configs"
"no_docker_sock_mount",11810,11790,20,49.72,99.83,311892,26.41,74.5
"no_privileged_containers",11810,11680,130,49.72,98.9,311892,26.41,74.5
"no_root",11810,216,11594,49.72,1.83,311892,26.41,74.5
"no_sysadmin_capability",11810,11783,27,49.72,99.77,311892,26.41,74.5
"no_sysmodule_capability",11810,11790,20,49.72,99.83,311892,26.41,74.5
"use_high_gid",11810,64,11746,49.72,0.54,311892,26.41,74.5
"use_high_uid",11810,64,11746,49.72,0.54,311892,26.41,74.5
"tagNotSpecified",11576,5704,5872,48.73,49.27,309383,26.73,74.42
"Disallow_Default_Namespace",11367,10981,386,47.85,96.6,302185,26.58,74.35
"no_host_network",7948,7802,146,33.46,98.16,250498,31.52,76.72
"no_host_pid",7948,7875,73,33.46,99.08,250498,31.52,76.72
"no_shared_ipc_namespace",7948,7930,18,33.46,99.77,250498,31.52,76.72
"Require_Multiple_Replicas",6657,1839,4818,28.02,27.63,206826,31.07,76.33
"Disallow_Localhost_ExternalName_Services",6254,43,6211,26.33,0.69,93378,14.93,52.4
"Disallow_NodePort",6254,4960,1294,26.33,79.31,93378,14.93,52.4
"Disallow_Service_Type_LoadBalancer",6254,5149,1105,26.33,82.33,93378,14.93,52.4
"Restrict_External_IPs",6254,6233,21,26.33,99.66,93378,14.93,52.4
"Restrict_Service_Port_Range",6254,2,6252,26.33,0.03,93378,14.93,52.4
"Block_Ephemeral_Containers",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Check_Environment_Variables",3862,3569,293,16.26,92.41,61394,15.9,69.94
"Check_supplementalGroups",3862,0,3862,16.26,0,61394,15.9,69.94
"Disallow_CRI_socket_mounts",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Disallow_Host_Namespaces",3862,3822,40,16.26,98.96,61394,15.9,69.94
"Disallow_Privilege_Escalation",3862,3236,626,16.26,83.79,61394,15.9,69.94
"Disallow_Privileged_Containers",3862,3836,26,16.26,99.33,61394,15.9,69.94
"Disallow_Secrets_from_Env_Vars",3862,3815,47,16.26,98.78,61394,15.9,69.94
"Disallow_all_Secrets",3862,3791,71,16.26,98.16,61394,15.9,69.94
"Disallow_hostPath",3862,3789,73,16.26,98.11,61394,15.9,69.94
"Disallow_hostPorts",3862,3844,18,16.26,99.53,61394,15.9,69.94
"Disallow_hostProcess",3862,3841,21,16.26,99.46,61394,15.9,69.94
"Disallow_procMount",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Prevent_cr8escape_CVE_2022_0811",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Require_Container_Port_Names",3862,149,3713,16.26,3.86,61394,15.9,69.94
"Require_Non_Root_Groups",3862,0,3862,16.26,0,61394,15.9,69.94
"Require_Pod_priorityClassName",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Require_Read_Only_Root_Filesystem",3862,7,3855,16.26,0.18,61394,15.9,69.94
"Require_Run_As_ContainerUser_Windows",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Require_Run_As_Non_Root_User",3862,0,3862,16.26,0,61394,15.9,69.94
"Require_imagePullPolicy_Always",3862,62,3800,16.26,1.61,61394,15.9,69.94
"Restrict_Auto_Mount_of_Service_Account_Tokens",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Restrict_Node_Affinity",3862,3760,102,16.26,97.36,61394,15.9,69.94
"Restrict_control_plane_scheduling",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Restrict_node_selection",3862,3659,203,16.26,94.74,61394,15.9,69.94
"Restrict_sysctls",3862,3857,5,16.26,99.87,61394,15.9,69.94
"Validate_User_ID_Group_ID_and_FS_Group",3862,0,3862,16.26,0,61394,15.9,69.94
"no_auto_mount_service_token",3862,3857,5,16.26,99.87,61394,15.9,69.94
"topologySpreadConstraint",3862,0,3862,16.26,0,61394,15.9,69.94
"Require_StorageClass",1446,1442,4,6.09,99.72,29823,20.62,65.47
"Restrict_Binding_System_Groups",1143,1143,0,4.81,100,15902,13.91,96.59
"Restrict_Binding_to_Cluster_Admin",1143,1065,78,4.81,93.18,15902,13.91,96.59
"Deny_Secret_Service_Account_Token_Type",1083,1083,0,4.56,100,8128,7.51,100
"Restrict_Auto_Mount_of_Service_Account_Tokens_in_Service_Account",1003,945,58,4.22,94.22,6628,6.61,94.22
"Enforce_ReadWriteOncePod",989,0,989,4.16,0,11820,11.95,58.33
"Restrict_Ingress_defaultBackend",759,630,129,3.2,83,13355,17.6,55.93
"tlsSettingsMissing",759,131,628,3.2,17.26,13355,17.6,55.93
"Limit_hostPath_PersistentVolumes_to_Specific_Directories",445,0,445,1.87,0,6617,14.87,0
"Require_aws_node_DaemonSet_use_IRSA",390,385,5,1.64,98.72,15956,40.91,76.52
"Restrict_StorageClass",121,17,104,0.51,14.05,985,8.14,14.05
"hpaMaxAvailability",110,44,66,0.46,40,1862,16.93,23.18
"hpaMinAvailability",110,7,103,0.46,6.36,1862,16.93,23.18
"Require_Images_Use_Checksums",47,0,47,0.2,0,310,6.6,72.88
"Restrict_Image_Registries",47,0,47,0.2,0,310,6.6,72.88
"PodDisruptionBudget_maxUnavailable_Non_Zero",37,21,16,0.16,56.76,489,13.22,56.76
"Restrict_Jobs",1,0,1,0,0,6,6,93.07
