"Policy","Apariciones","Cumplidas","Fallidas","Pct_Presencia_en_Infra","Pct_Exito_Politica","Features_Totales_Afectadas","Media_Features_por_Config","Score_Medio_Configs"
"no docker sock mount",11810,11790,20,49.72,99.83,1,26.41,74.5
"no privileged containers",11810,11680,130,49.72,98.9,24,26.41,74.5
"no root",11810,216,11594,49.72,1.83,48,26.41,74.5
"no sysadmin capability",11810,11783,27,49.72,99.77,1,26.41,74.5
"no sysmodule capability",11810,11790,20,49.72,99.83,1,26.41,74.5
"use high gid",11810,64,11746,49.72,0.54,48,26.41,74.5
"use high uid",11810,64,11746,49.72,0.54,48,26.41,74.5
"tagNotSpecified",11576,5704,5872,48.73,49.27,1,26.73,74.42
"Disallow Default Namespace",11367,10981,386,47.85,96.6,1,26.58,74.35
"no host network",7948,7802,146,33.46,98.16,7,31.52,76.72
"no host pid",7948,7875,73,33.46,99.08,7,31.52,76.72
"no shared ipc namespace",7948,7930,18,33.46,99.77,7,31.52,76.72
"Require Multiple Replicas",6657,1839,4818,28.02,27.63,1,31.07,76.33
"Disallow Localhost ExternalName Services",6254,43,6211,26.33,0.69,2,14.93,52.4
"Disallow NodePort",6254,4960,1294,26.33,79.31,1,14.93,52.4
"Disallow Service Type LoadBalancer",6254,5149,1105,26.33,82.33,1,14.93,52.4
"Restrict External IPs",6254,6233,21,26.33,99.66,1,14.93,52.4
"Restrict Service Port Range",6254,2,6252,26.33,0.03,1,14.93,52.4
"Block Ephemeral Containers",3862,3857,5,16.26,99.87,1,15.9,69.94
"Check Environment Variables",3862,3569,293,16.26,92.41,2,15.9,69.94
"Check supplementalGroups",3862,0,3862,16.26,0,1,15.9,69.94
"Disallow CRI socket mounts",3862,3857,5,16.26,99.87,1,15.9,69.94
"Disallow Host Namespaces",3862,3822,40,16.26,98.96,3,15.9,69.94
"Disallow Privilege Escalation",3862,3236,626,16.26,83.79,3,15.9,69.94
"Disallow Privileged Containers",3862,3836,26,16.26,99.33,3,15.9,69.94
"Disallow Secrets from Env Vars",3862,3815,47,16.26,98.78,2,15.9,69.94
"Disallow all Secrets",3862,3791,71,16.26,98.16,7,15.9,69.94
"Disallow hostPath",3862,3789,73,16.26,98.11,1,15.9,69.94
"Disallow hostPorts",3862,3844,18,16.26,99.53,3,15.9,69.94
"Disallow hostProcess",3862,3841,21,16.26,99.46,3,15.9,69.94
"Disallow procMount",3862,3857,5,16.26,99.87,1,15.9,69.94
"Prevent cr8escape CVE 2022 0811",3862,3857,5,16.26,99.87,1,15.9,69.94
"Require Container Port Names",3862,149,3713,16.26,3.86,1,15.9,69.94
"Require Non Root Groups",3862,0,3862,16.26,0,2,15.9,69.94
"Require Pod priorityClassName",3862,3857,5,16.26,99.87,1,15.9,69.94
"Require Read Only Root Filesystem",3862,7,3855,16.26,0.18,1,15.9,69.94
"Require Run As ContainerUser Windows",3862,3857,5,16.26,99.87,1,15.9,69.94
"Require Run As Non Root User",3862,0,3862,16.26,0,4,15.9,69.94
"Require imagePullPolicy Always",3862,62,3800,16.26,1.61,1,15.9,69.94
"Restrict Auto Mount of Service Account Tokens",3862,3857,5,16.26,99.87,1,15.9,69.94
"Restrict Node Affinity",3862,3760,102,16.26,97.36,1,15.9,69.94
"Restrict control plane scheduling",3862,3857,5,16.26,99.87,1,15.9,69.94
"Restrict node selection",3862,3659,203,16.26,94.74,2,15.9,69.94
"Restrict sysctls",3862,3857,5,16.26,99.87,1,15.9,69.94
"Validate User ID Group ID and FS Group",3862,0,3862,16.26,0,3,15.9,69.94
"no auto mount service token",3862,3857,5,16.26,99.87,5,15.9,69.94
"topologySpreadConstraint",3862,0,3862,16.26,0,1,15.9,69.94
"Require StorageClass",1446,1442,4,6.09,99.72,1,20.62,65.47
"Restrict Binding System Groups",1143,1143,0,4.81,100,-1,13.91,96.59
"Restrict Binding to Cluster Admin",1143,1065,78,4.81,93.18,1,13.91,96.59
"Deny Secret Service Account Token Type",1083,1083,0,4.56,100,1,7.51,100
"Restrict Auto Mount of Service Account Tokens in Service Account",1003,945,58,4.22,94.22,1,6.61,94.22
"Enforce ReadWriteOncePod",989,0,989,4.16,0,1,11.95,58.33
"Restrict Ingress defaultBackend",759,630,129,3.2,83,1,17.6,55.93
"tlsSettingsMissing",759,131,628,3.2,17.26,1,17.6,55.93
"Limit hostPath PersistentVolumes to Specific Directories",445,0,445,1.87,0,1,14.87,0
"Require aws node DaemonSet use IRSA",390,385,5,1.64,98.72,1,40.91,76.52
"Restrict StorageClass",121,17,104,0.51,14.05,1,8.14,14.05
"hpaMaxAvailability",110,44,66,0.46,40,2,16.93,23.18
"hpaMinAvailability",110,7,103,0.46,6.36,1,16.93,23.18
"Require Images Use Checksums",47,0,47,0.2,0,1,6.6,72.88
"Restrict Image Registries",47,0,47,0.2,0,-1,6.6,72.88
"PodDisruptionBudget maxUnavailable Non Zero",37,21,16,0.16,56.76,1,13.22,56.76
"Restrict Jobs",1,0,1,0,0,1,6,93.07
