Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
grafana-config25.yaml,tiny,Secret,11,14,0,4,4,0,0,True,19182.73,1301.77,[],[],
Ingress_36_2.yaml,tiny,Secret,7,14,0,2,4,0,0,True,18657.98,168.11,[],[],
recommendationservice4_.yaml,tiny,Deployment,53,422,102,12,26,5,5,True,285695.79,5273.26,[],[],
labels48_.yaml,tiny,Pod,11,481,187,2,49,13,13,True,476555.75,2883.47,[],[],
deployment129.yaml,tiny,Deployment,28,422,178,8,26,8,8,True,267018.0,890.79,[],[],
data-pvc1.yaml,tiny,PersistentVolumeClaim,10,7,3,1,2,1,1,True,38367.1,996.76,[],[],
38833.yaml,tiny,bug-fix,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v2, bug-fix"
service253.yaml,tiny,Service,17,13,4,1,6,2,2,True,78728.65,1779.19,[],[],
privileged1515.yaml,tiny,Pod,13,481,213,1,49,15,15,True,491455.02,875.82,[],[],
Service950.yaml,tiny,Service,15,13,2,1,6,1,1,True,74564.4,137.36,[],[],
external-secrets22.yaml,tiny,HelmRepository,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v1, HelmRepository"
leader_election_role_binding300.yaml,tiny,RoleBinding,12,12,0,1,4,0,0,True,20017.7,1146.24,[],[],
selinuxoptions444.yaml,tiny,Pod,22,481,187,1,49,13,13,True,477464.61,983.86,[],[],
procmount1361.yaml,tiny,Pod,13,481,217,1,49,15,15,True,475777.29,675.45,[],[],
secrets-pod-dockerhub.yaml,tiny,Pod,10,481,187,1,49,13,13,True,481940.0,654.21,[],[],
3-nginx-service.yaml,tiny,Service,14,13,4,1,6,2,2,True,75520.8,165.35,[],[],
service-021.yaml,tiny,Service,12,13,2,1,6,1,1,True,74607.04,81.37,[],[],
postgres-pod30.yaml,tiny,Pod,16,481,187,4,49,13,13,True,478939.57,808.19,[],[],
values2102.yaml,tiny,Values,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v1alpha1, Values"
pod260.yaml,tiny,Pod,11,481,187,4,49,13,13,True,481279.3,533.91,[],[],
pvc490.yaml,tiny,PersistentVolumeClaim,14,7,3,2,2,1,1,True,36722.48,311.66,[],[],
bad-pod-false.yaml,tiny,Pod,10,481,187,1,49,13,13,True,465561.37,503.99,[],[],
hello-canary.yaml,tiny,Deployment,42,422,178,18,26,8,8,True,251439.82,1153.55,[],[],
gitlab_1.yaml,tiny,Deployment,35,422,187,27,26,9,9,True,250159.08,1036.82,[],[],
deployment3942.yaml,tiny,Deployment,23,422,176,1,26,7,7,True,251464.39,288.55,[],[],
resource243_4.yaml,tiny,Ingress,20,4,0,4,2,0,0,True,19605.75,1380.8,[],[],
deployment6469_1.yaml,tiny,Service,13,13,2,1,6,1,1,True,71888.06,242.26,[],[],
services65.yaml,tiny,Service,21,13,4,4,6,2,2,True,70817.54,162.18,[],[],
resource462_72.yaml,tiny,CronJob,22,420,151,1,25,6,6,True,244582.03,1620.91,[],[],
appsdeployment13.yaml,tiny,Deployment,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v1beta2, Deployment"
core.v1.PodStatusResult8.yaml,tiny,PodStatusResult,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v1, PodStatusResult"
yamlenvconfig.yaml,tiny,Pod,16,481,187,3,49,13,13,True,458264.36,819.78,[],[],
basic_deployment3_2.yaml,tiny,Deployment,31,422,176,3,26,7,7,True,251935.28,669.27,[],[],
job-patch2.yaml,tiny,Job,16,420,176,1,25,7,7,True,242825.28,1241.51,[],[],
1-example1.yaml,tiny,Deployment,49,422,186,1,26,8,8,True,251390.68,1422.93,[],[],
loki-stack2_2.yaml,tiny,HelmRelease,0,0,0,0,0,0,0,,0.0,0.0,,,"Unsupported apiVersion and kind combination: v2beta1, HelmRelease"
seccompprofile_baseline1450.yaml,tiny,Pod,14,481,187,1,49,13,13,True,459497.73,686.11,[],[],
redis-pod67.yaml,tiny,Pod,13,481,187,2,49,13,13,True,467844.83,529.01,[],[],
hostports2847.yaml,tiny,Pod,19,481,213,4,49,15,15,True,479716.8,816.74,[],[],
frontend5_1.yaml,tiny,Deployment,41,422,176,8,26,7,7,True,266286.95,1028.27,[],[],
podcontroller-patched36_1.yaml,tiny,CronJob,23,420,176,1,25,7,7,True,247983.31,832.58,[],[],
deployment_1.yaml,tiny,Deployment,30,422,176,3,26,7,7,True,257370.41,479.72,[],[],
hostports01364.yaml,tiny,Pod,14,481,213,1,49,15,15,True,469029.36,581.29,[],[],
