Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
rabbitmq-service23.yaml,tiny,Service,21,13,4,4,6,2,2,True,26722.51,594.23,[],[],
deploy01-patched14.yaml,tiny,Deployment,26,422,178,4,26,8,8,True,95841.65,989.95,[],[],
nginx-rollingUpdate.yaml,tiny,DaemonSet,39,423,176,4,26,7,7,True,97502.23,820.73,[],[],
daemonset239.yaml,tiny,DaemonSet,35,423,211,4,26,9,9,True,95278.35,285.05,[],[],
resource286.yaml,tiny,Service,15,13,4,1,6,2,2,True,26857.25,47.81,[],[],
productpage1.yaml,tiny,Service,14,13,2,2,6,1,1,True,27570.21,40.14,[],[],
privileged01444.yaml,tiny,Pod,26,481,162,1,49,13,13,True,175794.15,1125.29,[],[],
lrs-disk-deploy.yaml,tiny,PersistentVolumeClaim,11,7,3,1,2,1,1,True,13757.54,320.62,[],[],
pod-resources34_1.yaml,tiny,Pod,10,481,187,2,49,13,13,True,174577.89,211.32,[],[],
expanded-ingresses_38.yaml,tiny,Ingress,20,4,2,1,2,1,1,True,13824.45,430.26,[],[],
deployment-exam22.yaml,tiny,Deployment,34,422,176,1,26,7,7,True,96144.55,316.86,[],[],
deployment2570.yaml,tiny,Deployment,24,422,188,2,26,9,9,True,95437.73,177.54,[],[],
01-busybox.yaml,tiny,Pod,13,481,198,2,49,15,15,True,174410.85,328.4,[],[],
hostnamespaces0672.yaml,tiny,Pod,12,481,191,1,49,14,14,True,174858.76,205.72,[],[],
restrictedvolumes11548.yaml,tiny,Pod,31,481,136,1,49,11,11,True,175425.15,242.24,[],[],
selinuxoptions3412.yaml,tiny,Pod,14,481,187,1,49,13,13,True,175090.97,215.29,[],[],
restrictedvolumes1141.yaml,tiny,Pod,18,481,187,1,49,13,13,True,174911.83,179.01,[],[],
service_account71.yaml,tiny,ServiceAccount,8,7,0,6,3,0,0,True,7372.15,242.41,[],[],
secondpod.yaml,tiny,Pod,16,481,187,4,49,13,13,True,174891.59,290.82,[],[],
redis-master-service62.yaml,tiny,Service,15,13,2,9,6,1,1,True,27395.39,42.17,[],[],
pods-with-volume.yaml,tiny,Pod,15,481,187,1,49,13,13,True,175369.94,261.45,[],[],
nginx-pod62.yaml,tiny,Pod,19,481,187,8,49,13,13,True,175088.23,278.6,[],[],
resource775_37.yaml,tiny,CronJob,19,420,176,2,25,7,7,True,92894.3,466.02,[],[],
csi-mock-driver2.yaml,tiny,StatefulSet,33,424,185,255,26,8,8,True,96260.53,729.87,[],[],
default-svc6.yaml,tiny,Service,21,13,4,4,6,2,2,True,27005.81,65.63,[],[],
runasnonroot0359.yaml,tiny,Pod,20,481,187,1,49,13,13,True,175591.94,180.82,[],[],
