Feature,Midle,Turned,Value
io_k8s_api_admissionregistration_v1_AuditAnnotation,AuditAnnotation,AuditAnnotation,
io_k8s_api_admissionregistration_v1_AuditAnnotation_key,AuditAnnotation_key,key,
io_k8s_api_admissionregistration_v1_AuditAnnotation_valueExpression,AuditAnnotation_valueExpression,valueExpression,
io_k8s_api_admissionregistration_v1_ExpressionWarning,ExpressionWarning,ExpressionWarning,
io_k8s_api_admissionregistration_v1_ExpressionWarning_fieldRef,ExpressionWarning_fieldRef,fieldRef,
io_k8s_api_admissionregistration_v1_ExpressionWarning_warning,ExpressionWarning_warning,warning,
io_k8s_api_admissionregistration_v1_MatchCondition,MatchCondition,MatchCondition,
io_k8s_api_admissionregistration_v1_MatchCondition_expression,MatchCondition_expression,expression,
io_k8s_api_admissionregistration_v1_MatchCondition_name,MatchCondition_name,name,
io_k8s_api_admissionregistration_v1_MatchResources,MatchResources,MatchResources,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules,MatchResources_excludeResourceRules,excludeResourceRules,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_apiGroups,MatchResources_excludeResourceRules_apiGroups,apiGroups,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_apiGroups_StringValue,MatchResources_excludeResourceRules_apiGroups_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_apiVersions,MatchResources_excludeResourceRules_apiVersions,apiVersions,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_apiVersions_StringValue,MatchResources_excludeResourceRules_apiVersions_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_operations,MatchResources_excludeResourceRules_operations,operations,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_operations_StringValue,MatchResources_excludeResourceRules_operations_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_resources,MatchResources_excludeResourceRules_resources,resources,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_resources_StringValue,MatchResources_excludeResourceRules_resources_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_resourceNames,MatchResources_excludeResourceRules_resourceNames,resourceNames,-
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_resourceNames_StringValue,MatchResources_excludeResourceRules_resourceNames_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_scope,MatchResources_excludeResourceRules_scope,scope,
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_scope_Cluster,MatchResources_excludeResourceRules_scope_Cluster,Cluster,Cluster
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_scope_Namespaced,MatchResources_excludeResourceRules_scope_Namespaced,Namespaced,Namespaced
io_k8s_api_admissionregistration_v1_MatchResources_excludeResourceRules_scope_estrella,MatchResources_excludeResourceRules_scope_estrella,estrella,estrella
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy,MatchResources_matchPolicy,matchPolicy,
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_apps,MatchResources_matchPolicy_apps,apps,apps
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_MatchResources,MatchResources_matchPolicy_MatchResources,MatchResources,MatchResources
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_deployments,MatchResources_matchPolicy_deployments,deployments,deployments
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_Equivalent,MatchResources_matchPolicy_Equivalent,Equivalent,Equivalent
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_rules,MatchResources_matchPolicy_rules,rules,rules
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_v1,MatchResources_matchPolicy_v1,v1,v1
io_k8s_api_admissionregistration_v1_MatchResources_matchPolicy_Exact,MatchResources_matchPolicy_Exact,Exact,Exact
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector,MatchResources_namespaceSelector,namespaceSelector,
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions,MatchResources_namespaceSelector_matchExpressions,matchExpressions,-
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_key,MatchResources_namespaceSelector_matchExpressions_key,key,
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_operator,MatchResources_namespaceSelector_matchExpressions_operator,operator,
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_operator_Exists,MatchResources_namespaceSelector_matchExpressions_operator_Exists,Exists,Exists
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_operator_NotIn,MatchResources_namespaceSelector_matchExpressions_operator_NotIn,NotIn,NotIn
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_operator_In,MatchResources_namespaceSelector_matchExpressions_operator_In,In,In
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_operator_DoesNotExist,MatchResources_namespaceSelector_matchExpressions_operator_DoesNotExist,DoesNotExist,DoesNotExist
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_values,MatchResources_namespaceSelector_matchExpressions_values,values,-
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchExpressions_values_StringValue,MatchResources_namespaceSelector_matchExpressions_values_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchLabels,MatchResources_namespaceSelector_matchLabels,matchLabels,-
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchLabels_KeyMap,MatchResources_namespaceSelector_matchLabels_KeyMap,KeyMap,
io_k8s_api_admissionregistration_v1_MatchResources_namespaceSelector_matchLabels_ValueMap,MatchResources_namespaceSelector_matchLabels_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector,MatchResources_objectSelector,objectSelector,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions,MatchResources_objectSelector_matchExpressions,matchExpressions,-
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_key,MatchResources_objectSelector_matchExpressions_key,key,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_operator,MatchResources_objectSelector_matchExpressions_operator,operator,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_operator_Exists,MatchResources_objectSelector_matchExpressions_operator_Exists,Exists,Exists
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_operator_NotIn,MatchResources_objectSelector_matchExpressions_operator_NotIn,NotIn,NotIn
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_operator_In,MatchResources_objectSelector_matchExpressions_operator_In,In,In
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_operator_DoesNotExist,MatchResources_objectSelector_matchExpressions_operator_DoesNotExist,DoesNotExist,DoesNotExist
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_values,MatchResources_objectSelector_matchExpressions_values,values,-
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchExpressions_values_StringValue,MatchResources_objectSelector_matchExpressions_values_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchLabels,MatchResources_objectSelector_matchLabels,matchLabels,-
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchLabels_KeyMap,MatchResources_objectSelector_matchLabels_KeyMap,KeyMap,
io_k8s_api_admissionregistration_v1_MatchResources_objectSelector_matchLabels_ValueMap,MatchResources_objectSelector_matchLabels_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules,MatchResources_resourceRules,resourceRules,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_apiGroups,MatchResources_resourceRules_apiGroups,apiGroups,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_apiGroups_StringValue,MatchResources_resourceRules_apiGroups_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_apiVersions,MatchResources_resourceRules_apiVersions,apiVersions,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_apiVersions_StringValue,MatchResources_resourceRules_apiVersions_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_operations,MatchResources_resourceRules_operations,operations,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_operations_StringValue,MatchResources_resourceRules_operations_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resources,MatchResources_resourceRules_resources,resources,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resources_StringValue,MatchResources_resourceRules_resources_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resourceNames,MatchResources_resourceRules_resourceNames,resourceNames,-
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_resourceNames_StringValue,MatchResources_resourceRules_resourceNames_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MatchResources_resourceRules_scope,MatchResources_resourceRules_scope,scope,
