Archivo;ID_Trivy;Resultado;Razon
access_to_host_ports.rego;KSV-0024;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
allowing_create_role_binding_and_associate_privileged_clusterrole.rego;KSV-0051;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
allowing_create_role_clusterrolebinding_and_associate_privileged_clusterrole.rego;KSV-0052;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
allowing_to_update_a_malicious_pod.rego;KSV-0048;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
allowing_users_rolebinding_add_other_users_rolebindings.rego;KSV-0055;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
anonymous_user_bind.rego;KSV-0122;ACEPTADA;Semántica OK. Kinds Soportados: ['rolebinding', 'clusterrolebinding']
any_any.rego;KSV-0044;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
any_verb.rego;KSV-0045;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_admin_conf_ownership.rego;KCV-0061;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
apiserver_admin_conf_permission.rego;KCV-0060;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
apiserver_always_admit_plugin.rego;KCV-0011;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_always_pull_images_plugin.rego;KCV-0012;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_anonymous_auth.rego;KCV-0001;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_audit_log_maxage.rego;KCV-0020;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_audit_log_maxbackup.rego;KCV-0021;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_audit_log_maxsize.rego;KCV-0022;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_audit_log_path.rego;KCV-0019;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_authorization_mode.rego;KCV-0007;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_authorization_mode_includes_node.rego;KCV-0008;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_authorization_mode_includes_rbac.rego;KCV-0009;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_client_ca_file.rego;KCV-0028;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_deny_service_external_ips_plugin.rego;KCV-0003;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_encryption_provider_config.rego;KCV-0030;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_etcd_cafile.rego;KCV-0029;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_etcd_certfile_and_keyfile.rego;KCV-0026;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_event_rate_limit_plugin.rego;KCV-0010;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_kubelet_certificate_authority.rego;KCV-0006;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_kubelet_client_certificate_and_key.rego;KCV-0005;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_kubelet_https.rego;KCV-0004;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
apiserver_kubernetes_pki_cert_permission.rego;KCV-0068;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
apiserver_kubernetes_pki_directory_ownership.rego;KCV-0066;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
apiserver_kubernetes_pki_key_permission.rego;KCV-0067;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
